Common: _zUmhEKESEeu-mYqkDskRow
UI: _1lMqsKESEeu-mYqkDskRow
Logic: _3LCnIKESEeu-mYqkDskRow
Storage: _9JlCIKESEeu-mYqkDskRow
Test Driver: _Bae2oKETEeu-mYqkDskRow
E2E: _EIoe8KETEeu-mYqkDskRow
Client: _GaP8QKETEeu-mYqkDskRow
GAE Datastore: _KGVMcKETEeu-mYqkDskRow

modelElement,sentence
ui,3
ui,4
storage,9
gae datastore,9
test driver,13
client,15
common,17
logic,20
ui,23
logic,34
ui,54
logic,60
logic,61
storage,61
logic,62
ui,65
test driver,69
logic,72
logic,73
ui,73
ui,74
ui,75
test driver,77
ui,81
logic,81
storage,87
storage,113
gae datastore,117
storage,118
gae datastore,121
logic,121
storage,122
gae datastore,124
common,126
storage,129
logic,130
gae datastore,133
gae datastore,136
common,152
test driver,161
test driver,167
test driver,169
ui,174
common,175
logic,176
storage, 177
client,182
