WebUI: _bC13QDVWEeqPG_FgW3bi6Q
Registry: _dhM6oDVXEeqPG_FgW3bi6Q
Persistence: _lnx1oDVWEeqPG_FgW3bi6Q
Recommender: _m3fxEDVWEeqPG_FgW3bi6Q
Auth: _AiuxcDVdEeqPG_FgW3bi6Q
SlopeOneRecommender: _YkXeIDVgEeqPG_FgW3bi6Q
OrderBasedRecommender: _kgbngDVgEeqPG_FgW3bi6Q
DummyRecommender: _ouzFYDVgEeqPG_FgW3bi6Q
PopularityBasedRecommender: _raxjcDVgEeqPG_FgW3bi6Q
ImageProvider: _yA04AKTKEeqKjI323B3R3w
PreprocessedSlopeOneRecommender: _iaElgKpwEeqHXcsU55mirw

modelElement,sentence
Registry,1
Registry,2
WebUI,3
ImageProvider,3
Auth,3
Persistence,3
Recommender,3
ImageProvider,4
Recommender,4
Persistence,4
ImageProvider,6
Recommender,6
Auth,7
WebUI,7
Persistence,7
Registry,15
Registry,16
Registry,18
WebUI,26
WebUI,27
Persistence,27
ImageProvider,28
WebUI,32
Auth,32
Persistence,33
WebUI,34
Recommender,34
Recommender,35
WebUI,37
ImageProvider,37
