WebUI: _bC13QDVWEeqPG_FgW3bi6Q
Registry: _dhM6oDVXEeqPG_FgW3bi6Q
Persistence: _lnx1oDVWEeqPG_FgW3bi6Q
Recommender: _m3fxEDVWEeqPG_FgW3bi6Q
Auth: _AiuxcDVdEeqPG_FgW3bi6Q
SlopeOneRecommender: _YkXeIDVgEeqPG_FgW3bi6Q
OrderBasedRecommender: _kgbngDVgEeqPG_FgW3bi6Q
DummyRecommender: _ouzFYDVgEeqPG_FgW3bi6Q
PopularityBasedRecommender: _raxjcDVgEeqPG_FgW3bi6Q
ImageProvider: _yA04AKTKEeqKjI323B3R3w
PreprocessedSlopeOneRecommender: _iaElgKpwEeqHXcsU55mirw

modelElement,sentence
Registry,1
Registry,2
WebUI,3
ImageProvider,3
Auth,3
Persistence,3
Recommender,3
ImageProvider,4
Recommender,4
Persistence,4
ImageProvider,6
Recommender,6
Auth,7
WebUI,7
Persistence,7
Registry,15
Registry,16
Registry,18
WebUI,26
WebUI,27
Persistence,27
ImageProvider,28
WebUI,32
Auth,32
Persistence,33
WebUI,34
Recommender,34
Recommender,35
WebUI,37
ImageProvider,37
Registry,39
WebUI,41
ImageProvider,42
Persistence,42
WebUI,43
Persistence,43
WebUI,44
WebUI,45
ImageProvider,46
WebUI,46
ImageProvider,48
ImageProvider,49
Persistence,52
Auth,53
Auth,58
Recommender,59
Recommender,61
Persistence,61
Recommender,62
Recommender,63
Recommender,64
Recommender,65
Persistence,65
SlopeOneRecommender(?),67
SlopeOneRecommender(?),68
Persistence,69
Persistence,71
Persistence,72
Persistence,74
Persistence,75
Registry,77
Registry,79
