WebUI, Registry, ImageProvider, Auth, Persistence, Recommender

modelElement,sentence
Registry,2
Registry,3
WebUI,4
ImageProvider,4,
Auth,4
Persistence,4
Recommender,4
ImageProvider,5
Recommender,5
Persistence,5
ImageProvider,7
Recommender,7
Auth,8
WebUI,8
Persistence,8
Registry,16
Registry,17
Registry,18
Registry,19
WebUI,27
WebUI,28
Persistence,28
ImageProvider,29
WebUI,33
Auth,33
Persistence,34
WebUI,35
Recommender,35
Recommender,36
WebUI,38
ImageProvider,38
WebUI,44
ImageProvider,45
Persistence,45
WebUI,46
Persistence,46
WebUI,47
WebUI,48
ImageProvider,49
WebUI,49
ImageProvider,51
ImageProvider,52
Persistence,55
Auth,56
Auth,61
Recommender,62
Recommender,64
Persistence,64
Recommender,65
Recommender,66
Recommender,67
Recommender,68
Persistence,68
Persistence,72
Persistence,74
Persistence,75
Persistence,77
Persistence,78
Registry,80
Registry,83
