WebUI: _bC13QDVWEeqPG_FgW3bi6Q
Registry: _dhM6oDVXEeqPG_FgW3bi6Q
Persistence: _lnx1oDVWEeqPG_FgW3bi6Q
Recommender: _m3fxEDVWEeqPG_FgW3bi6Q
Auth: _AiuxcDVdEeqPG_FgW3bi6Q
SlopeOneRecommender: _YkXeIDVgEeqPG_FgW3bi6Q
OrderBasedRecommender: _kgbngDVgEeqPG_FgW3bi6Q
DummyRecommender: _ouzFYDVgEeqPG_FgW3bi6Q
PopularityBasedRecommender: _raxjcDVgEeqPG_FgW3bi6Q
ImageProvider: _yA04AKTKEeqKjI323B3R3w
PreprocessedSlopeOneRecommender: _iaElgKpwEeqHXcsU55mirw

modelElement,sentence
Registry,1
WebUI,3
ImageProvider,4
Persistence,4
WebUI,5
Persistence,5
WebUI,6
WebUI,7
ImageProvider,8
WebUI,8
ImageProvider,10
ImageProvider,11
Persistence,14
Auth,15
Auth,20
Recommender,21
Recommender,23
Persistence,23
Recommender,24
Recommender,25
Recommender,26
Recommender,27
Persistence,27
Persistence,31
Persistence,33
Persistence,34
Persistence,36
Persistence,37
Registry,39
Registry,41
